author,name,instructions,ingredients,description,num_servings,min,image,category1,category2
herm,BBQ Chicken Twice-Baked Potatoes,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/BBQchicken.jpeg,Dinner,Dairy-Free
cassie,Breakfast Tostadas,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/breakfasttostadas.jpeg,Breakfast,Savory
dumby,Chicken Fried Rice,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/chicken-fried-rice-vertical-1545488815.png,Dinner,Lunch
cam,Vegan Lasagna,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1520009692-lasagna-resize-vertical.jpeg,Dinner,Vegetarian
cam,Creamy Kale & Gnocchi Bake,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/creamy-kale-and-gnocchi-bake3-1662431239.jpeg,Dinner,Vegetarian
jc,Cocont Curry Salmon,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/20201218-coconut-salmon-delish-ehg-149-1608758650.jpeg,Dinner,Savory
hp,Strawberry Poke Cake,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1393874276855.jpeg,Dessert,Sweet
derek,Fruit Pizza,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1594232618992.jpeg,Dessert,Vegetarian
ronnie,Cake Pops,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1582853049838.jpeg,Dessert,Sweet
jc,Tres Leche Cake,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1393207442973.jpeg,Dessert,Sweet
dumby,Garlic Bagel Chips,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1371593149525.jpeg,Snack,Dairy-Free
derek,Cheesy Chex Mix,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1371593176940.jpeg,Snack,Savory
herm,Ham Pinwheels,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/1371593085062.jpeg,Snack,Savory
hp,Guacamole,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua..:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.:Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,1:C:ingredient:2:Tb:ingredient:0.5:Ts:ingredient:.5:C:ingredient:2:LB:ingredient:4:C:ingredient:2:Ts:ingredient:2:Tb:ingredient:3:Tb:ingredient:5:C:ingredient:2:OZ:ingredient:0.5:Tb:ingredient,Lorem ipsum dolor sit amet; consectetur adipiscing elit; sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Feugiat nibh sed pulvinar proin gravida hendrerit. Pharetra convallis posuere morbi leo. Augue ut lectus arcu bibendum at varius vel. Ipsum dolor sit amet consectetur adipiscing elit.,12,30,myCookbook/images/recipeImages/guacamole-2.jpeg,Snack,Vegetarian
